№,Статус,Вопрос,Ожидаемые ключевые слова,Найдено,Ответ бота
1,OK,"С помощью какого рабочего инструмента можно увидеть все условия работы и бонусы вашей компании, а также работать с заказами от и до?",личном кабинет,личном кабинет,"Все условия работы, бонусы и полное управление заказами доступны в Личном кабинете партнера."
2,OK,Как часто обновляются данные графика загрузки производства?,полчаса,полчаса,Данные графика загрузки производства обновляются каждые полчаса.
3,OK,Как быстрее всего получить акт сверки от «Проекта 111»?,"личном кабинете, эдо, услуги","личном кабинете, эдо, услуги",Акт сверки быстрее всего запросить в личном кабинете на gifts.ru в разделе «Услуги» или через систему ЭДО.
4,OK,Где найти адреса всех пунктов выдачи заказа «Проекта 111»?,"контакты, доставка","контакты, доставка",Адреса всех пунктов выдачи указаны в разделах «Контакты» и «Доставка» на сайте gifts.ru.
5,OK,Как еженедельно получать дайджест новинок от «Проекта 111»?,рассылк,рассылк,Для получения еженедельного дайджеста новинок необходимо подписаться на рассылки сайта.
6,OK,Может ли партнер «Проекта 111» опубликовать свой кейс на сайте gifts.ru?,"бриф, marketing@gifts.ru","бриф, marketing@gifts.ru","Да, для этого нужно заполнить бриф и прислать его на почту marketing@gifts.ru."
7,OK,Как часто обновляются данные по наличию товара на складе и резервам?,реальном времени,реальном времени,Данные по наличию товара на складе и резервам обновляются в реальном времени.
8,OK,"Как называется раздел сайта с образцами товара с нанесением, каталогами, раскладками материалов?",маркетинговая поддержка,маркетинговая поддержка,Этот раздел называется «Маркетинговая поддержка».
9,OK,Где найти памятку по сигнальным образцам?,помощь,помощь,Памятку по сигнальным образцам можно найти в разделе «Помощь».
10,OK,Как правильно оценить размеры товара?,"размеры, карточке","размеры, карточке","Размеры товара следует оценивать по полю «Размеры» в карточке товара, а также по фото и видео рядом с другими предметами."
11,OK,"Где взять источник вдохновения в карточке товара, если клиент не знает, как органично вписать его в рекламную кампанию?","примеры, фотографии, обзоры","примеры, фотографии, обзоры","Источники вдохновения находятся на вкладках «Примеры», «Фотографии» (имиджевые фото) и «Обзоры» (кейсы) под блоком с ценой."
12,OK,Какие две цены партнеры «Проекта 111» видят в карточке товара?,"публичную, партнерской скидкой","публичную, партнерской скидкой",Партнеры видят публичную цену сайта и цену с партнерской скидкой.
13,OK,Где познакомиться с доступными методами нанесения логотипа на конкретный товар?,"нанесение, ценами, стоимость нанесения","нанесение, ценами, стоимость нанесения","Методы нанесения указаны под блоком с ценами справа, в выпадающем списке «Добавить нанесение» и в разделе «Стоимость нанесения»."
14,OK,Какие данные нужны дизайнеру для подготовки оригинал-макетов и где их взять?,"конструктор, файлы, технические требования","конструктор, файлы, технические требования","Нужен файл с векторным изображением предмета («конструктор») с вкладки «Файлы» и технические требования, которые можно посмотреть на сайте или в карточке товара после выбора вида нанесения."
